domain,domain_type,organization_name,suborganization_name,topic
aoa.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
arpa-h.gov,Federal - Executive,Department of Health and Human Services,Advanced Research Projects Agency for Health,ScienceAndTechnology
arpah.gov,Federal - Executive,Department of Health and Human Services,Advanced Research Projects Agency for Health,ScienceAndTechnology
aspr.gov,Federal - Executive,Department of Health and Human Services,Administration for Strategic Preparedness and Response,PublicSafety
bam.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
betobaccofree.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
bioethics.gov,Federal - Executive,Department of Health and Human Services,"President's Council on Bioethics, Office of the Secretary",FinanceAndEconomy
birthcontrol.gov,Federal - Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,FinanceAndEconomy
brain.gov,Federal - Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,HealthAndEnvironment
cancer.gov,Federal - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",HealthAndEnvironment
cdc.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
cdcpartners.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
childcare.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
childwelfare.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
clinicaltrial.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
clinicaltrials.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
cms.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
collegedrinkingprevention.gov,Federal - Executive,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",HealthAndEnvironment
cuidadodesalud.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,DefenseAndMilitary
dhhs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
diabetescommittee.gov,Federal - Executive,Department of Health and Human Services,"National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",IntelligenceCommunity
docline.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
donaciondeorganos.gov,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,ScienceAndTechnology
drugabuse.gov,Federal - Executive,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",HealthAndEnvironment
eldercare.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
encuentraapoyo.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
everytrycounts.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
familyplanning.gov,Federal - Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,FinanceAndEconomy
fatherhood.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
fda.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
findsupport.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
findtreatment.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
fitness.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
flu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
foodsafety.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
freshempire.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
fruitsandveggiesmatter.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,PublicSafety
genome.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,HealthAndEnvironment
girlshealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",HealthAndEnvironment
globalhealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",FinanceAndEconomy
gmta.gov,Federal - Executive,Department of Health and Human Services,"Office of Grants, Division of Workforce Development",HealthAndEnvironment
grants.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",CyberSecurity
grantsolutions.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
guideline.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ScienceAndTechnology
guidelines.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ScienceAndTechnology
hc.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
headstart.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,ScienceAndTechnology
healthcare.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
healthdata.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
healthfinder.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",FinanceAndEconomy
health.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",FinanceAndEconomy
healthindicators.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
healthit.gov,Federal - Executive,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FinanceAndEconomy
healthypeople.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",FinanceAndEconomy
hearttruth.gov,Federal - Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute, NIH",HealthAndEnvironment
hhs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
hhsoig.gov,Federal - Executive,Department of Health and Human Services,,HealthAndEnvironment
hhsops.gov,Federal - Executive,Department of Health and Human Services,Program Support Center,HealthAndEnvironment
hiv.gov,Federal - Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,FinanceAndEconomy
hrsa.gov,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,ScienceAndTechnology
idealab.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,JusticeAndLaw
ihs.gov,Federal - Executive,Department of Health and Human Services,Indian Health Service,IntelligenceCommunity
insurekidsnow.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
longtermcare.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
lowerdrugcosts.gov,Federal - Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,FinanceAndEconomy
medicaid.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
medicalcountermeasures.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",PublicSafety
medicamentosbajoprecio.gov,Federal - Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,FinanceAndEconomy
medicare.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,HealthAndEnvironment
medlineplus.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
menopause.gov,Federal - Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,FinanceAndEconomy
mentalhealth.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
mesh.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
ncifcrf.gov,Federal - Executive,Department of Health and Human Services,"Enterprise Information Technology, NIH",ScienceAndTechnology
nextlegends.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
nih.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,HealthAndEnvironment
niosh.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
nlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
nnlm.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
opioids.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
organdonor.gov,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,ScienceAndTechnology
pandemicflu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
phe.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",PublicSafety
psc.gov,Federal - Executive,Department of Health and Human Services,Program Support Center,HealthAndEnvironment
pubmed.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",HealthAndEnvironment
recoverymonth.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
reproductivehealthservices.gov,Federal - Executive,Department of Health and Human Services,,HealthAndEnvironment
samhsa.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
selectagents.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
simplereport.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
smokefree.gov,Federal - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",HealthAndEnvironment
stopalcoholabuse.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,ScienceAndTechnology
stopbullying.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
surgeongeneral.gov,Federal - Executive,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",FinanceAndEconomy
thebraininitiative.gov,Federal - Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,HealthAndEnvironment
therealcost.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
thisfreelife.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
tobacco.gov,Federal - Executive,Department of Health and Human Services,Food and Drug Administration,ScienceAndTechnology
tox21.gov,Federal - Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,HealthAndEnvironment
usbm.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
usphs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,FinanceAndEconomy
vaccine.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
vaccines.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
vacine.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
vacines.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
vacuna.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
vacunas.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,HealthAndEnvironment
visforvaccinated.gov,Federal - Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,FinanceAndEconomy
whaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
whitehouseconferenceonaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,ScienceAndTechnology
womenshealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",HealthAndEnvironment
youth.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",FinanceAndEconomy
biometrics.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
bluecampaign.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
cbp.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,PublicSafety
cisa.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
cpnireporting.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,CyberSecurity
cyber.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
cybersecurity.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
dhs.gov,Federal - Executive,Department of Homeland Security,Management Directorate,CyberSecurity
disasterassistance.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,PublicSafety
e-verify.gov,Federal - Executive,Department of Homeland Security,Citizenship and Immigration Services,PublicSafety
everify.gov,Federal - Executive,Department of Homeland Security,Citizenship and Immigration Services,PublicSafety
evus.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,PublicSafety
fema.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,PublicSafety
firstrespondertraining.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,PublicSafety
fleta.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,JusticeAndLaw
fletc.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,JusticeAndLaw
floodsmart.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,PublicSafety
get.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
globalentry.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,PublicSafety
homelandsecurity.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
hsi.gov,Federal - Executive,Department of Homeland Security,,PublicSafety
hstf.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
ice.gov,Federal - Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,PublicSafety
juntos.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
know2protect.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
listo.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
niem.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
power2prevent.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
preventionresourcefinder.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
readybusiness.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,PublicSafety
ready.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
safetyact.gov,Federal - Executive,Department of Homeland Security,Science and Technology Directorate,PublicSafety
schoolsafety.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
secretservice.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,CyberSecurity
stopransomware.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
together.gov,Federal - Executive,Department of Homeland Security,Management Directorate,PublicSafety
tsa.gov,Federal - Executive,Department of Homeland Security,Transportation Security Administration,PublicSafety
us-cert.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,CyberSecurity
uscg.gov,Federal - Executive,Department of Homeland Security,United States Coast Guard,PublicSafety
uscis.gov,Federal - Executive,Department of Homeland Security,Citizenship and Immigration Services,PublicSafety
usss.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,CyberSecurity
disasterhousing.gov,Federal - Executive,Department of Housing and Urban Development,,PublicSafety
fha.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
ginniemae.gov,Federal - Executive,Department of Housing and Urban Development,Government National Mortgage Association,CyberSecurity
hud.gov,Federal - Executive,Department of Housing and Urban Development,Assistant Secretary for Public Affairs,FinanceAndEconomy
hudhomestore.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
hudoig.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
huduser.gov,Federal - Executive,Department of Housing and Urban Development,Assistant Secretary for Policy Development and Research,ScienceAndTechnology
nationalhousing.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
nationalhousinglocator.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
nhl.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
nls.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
opportunityzones.gov,Federal - Executive,Department of Housing and Urban Development,,HealthAndEnvironment
ada.gov,Federal - Executive,Department of Justice,Civil Rights Division,JusticeAndLaw
amberalert.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
atf.gov,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",JusticeAndLaw
bats.gov,Federal - Executive,Department of Justice,,JusticeAndLaw
biometriccoe.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,JusticeAndLaw
bjs.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
bop.gov,Federal - Executive,Department of Justice,Federal Bureau of Prisons,JusticeAndLaw
campusdrugprevention.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
cjis.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,JusticeAndLaw
crimesolutions.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
cybercrime.gov,Federal - Executive,Department of Justice,Criminal Division,CyberSecurity
deaecom.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
dea.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
doj.gov,Federal - Executive,Department of Justice,,CyberSecurity
dsac.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",JusticeAndLaw
elderjustice.gov,Federal - Executive,Department of Justice,"Department of Justice, Civil Division",JusticeAndLaw
epic.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
fara.gov,Federal - Executive,Department of Justice,National Security Division,JusticeAndLaw
fbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,CyberSecurity
fbijobs.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,CyberSecurity
fbilab.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,CyberSecurity
foia.gov,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",JusticeAndLaw
forfeiture.gov,Federal - Executive,Department of Justice,Asset Forfeiture Management Staff,JusticeAndLaw
fpi.gov,Federal - Executive,Department of Justice,Federal Prison Industries,JusticeAndLaw
getsmartaboutdrugs.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
healthycompetition.gov,Federal - Executive,Department of Justice,Antitrust Division,JusticeAndLaw
ic3.gov,Federal - Executive,Department of Justice,Internet Crime Complaint Center,JusticeAndLaw
interpol.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",JusticeAndLaw
iprcenter.gov,Federal - Executive,Department of Justice,U.S Immigration and Customs Enforcement,JusticeAndLaw
jcode.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,JusticeAndLaw
justauth.gov,Federal - Executive,Department of Justice,Justice Management Division,JusticeAndLaw
justice.gov,Federal - Executive,Department of Justice,,JusticeAndLaw
justthinktwice.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,JusticeAndLaw
learnatf.gov,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",JusticeAndLaw
learndoj.gov,Federal - Executive,Department of Justice,,CyberSecurity
leo.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,JusticeAndLaw
lep.gov,Federal - Executive,Department of Justice,Civil Rights Division,JusticeAndLaw
namus.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
nationalgangcenter.gov,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,JusticeAndLaw
ncirc.gov,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,JusticeAndLaw
ncjrs.gov,Federal - Executive,Department of Justice,,JusticeAndLaw
nicic.gov,Federal - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",JusticeAndLaw
nicsezcheckfbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,CyberSecurity
nij.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
nsopw.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
nvtc.gov,Federal - Executive,Department of Justice,National Virtual Translation Center,JusticeAndLaw
ojjdp.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
ojp.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
ovc.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
ovcttac.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
projectsafechildhood.gov,Federal - Executive,Department of Justice,Office of the Chief Information Officer,JusticeAndLaw
projectsafeneighborhoods.gov,Federal - Executive,Department of Justice,Office of the Chief Information Officer,JusticeAndLaw
psob.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
rcfl.gov,Federal - Executive,Department of Justice,RCFL,JusticeAndLaw
reentry.gov,Federal - Executive,Department of Justice,Federal Bureau of Prisons,JusticeAndLaw
seized.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,JusticeAndLaw
servicemembers.gov,Federal - Executive,Department of Justice,Civil Rights Division,JusticeAndLaw
smart.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
tribaljusticeandsafety.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
tsc.gov,Federal - Executive,Department of Justice,Terrorist Screening Center,JusticeAndLaw
unicor.gov,Federal - Executive,Department of Justice,Unicor,JusticeAndLaw
usdoj.gov,Federal - Executive,Department of Justice,Office of the Chief Information Officer,CyberSecurity
usmarshals.gov,Federal - Executive,Department of Justice,U.S. Marshals Service,JusticeAndLaw
vcf.gov,Federal - Executive,Department of Justice,,JusticeAndLaw
vehiclehistory.gov,Federal - Executive,Department of Justice,Office of Justice Programs,JusticeAndLaw
apprenticeship.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
apprenticeships.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
bls.gov,Federal - Executive,Department of Labor,Bureau of Labor Statistics,HealthAndEnvironment
dol-esa.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
doleta.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
dol.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
employer.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
goodjobs.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
hirevets.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
jobcorps.gov,Federal - Executive,Department of Labor,Employment and Training Administration,ScienceAndTechnology
labor.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
migrantworker.gov,Federal - Executive,Department of Labor,Bureau of International Labor Affairs,FinanceAndEconomy
msha.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
mshastanddown.gov,Federal - Executive,Department of Labor,Mine Safety and Health Administration,ScienceAndTechnology
osha.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
persuader-reports.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
trabajadormigrante.gov,Federal - Executive,Department of Labor,Bureau of International Labor Affairs,FinanceAndEconomy
trainingproviderresults.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
ui.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
unemployment.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
unionreports.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
veterans.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
whistleblowers.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
workcenter.gov,Federal - Executive,Department of Labor,Office of the Assistant Secretary for Administration and Management,ScienceAndTechnology
worker.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
wrp.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
youthrules.gov,Federal - Executive,Department of Labor,,HealthAndEnvironment
america.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
childreninadversity.gov,Federal - Executive,Department of State,,HealthAndEnvironment
devtestfan1.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,HealthAndEnvironment
dfafacts.gov,Federal - Executive,Department of State,,HealthAndEnvironment
fan.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,HealthAndEnvironment
feedthefuture.gov,Federal - Executive,Department of State,,HealthAndEnvironment
foreignassistance.gov,Federal - Executive,Department of State,,HealthAndEnvironment
fsgb.gov,Federal - Executive,Department of State,Foreign Service Grievance Board,HealthAndEnvironment
fso.gov,Federal - Executive,Department of State,,HealthAndEnvironment
iawg.gov,Federal - Executive,Department of State,Bureau of East Asian and Pacific Affairs,FinanceAndEconomy
ibwc.gov,Federal - Executive,Department of State,Bureau of Western Hemisphere Affairs,FinanceAndEconomy
neglecteddiseases.gov,Federal - Executive,Department of State,,HealthAndEnvironment
osac.gov,Federal - Executive,Department of State,Bureau of Diplomatic Security,FinanceAndEconomy
pepfar.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
pmi.gov,Federal - Executive,Department of State,,HealthAndEnvironment
preprodfan.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,HealthAndEnvironment
prosperafrica.gov,Federal - Executive,Department of State,,HealthAndEnvironment
securitytestfan.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,FinanceAndEconomy
state.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
stateoig.gov,Federal - Executive,Department of State,Office of the Inspector General,HealthAndEnvironment
supportfan.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,HealthAndEnvironment
usaid.gov,Federal - Executive,Department of State,,HealthAndEnvironment
usaseanconnect.gov,Federal - Executive,Department of State,U.S. - ASEAN Connect,HealthAndEnvironment
usconsulate.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
usdoscloud.gov,Federal - Executive,Department of State,Bureau of Information Resources Management,HealthAndEnvironment
usembassy.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
usmission.gov,Federal - Executive,Department of State,Bureau of Global Public Affairs,FinanceAndEconomy
usxports.gov,Federal - Executive,Department of State,Bureau of Political and Military Affairs,DefenseAndMilitary
workwithusaid.gov,Federal - Executive,Department of State,,HealthAndEnvironment
acwi.gov,Federal - Executive,Department of the Interior,Advisory Committee on Water Information,HealthAndEnvironment
anstaskforce.gov,Federal - Executive,Department of the Interior,Aquatic Nuisance Species Task Force,HealthAndEnvironment
bia.gov,Federal - Executive,Department of the Interior,Bureau of Indian Affairs,IntelligenceCommunity
blm.gov,Federal - Executive,Department of the Interior,Bureau of Land Management,HealthAndEnvironment
boem.gov,Federal - Executive,Department of the Interior,Minerals Management Service,HealthAndEnvironment
boemre.gov,Federal - Executive,Department of the Interior,,HealthAndEnvironment
bor.gov,Federal - Executive,Department of the Interior,Bureau of Reclamation,HealthAndEnvironment
bsee.gov,Federal - Executive,Department of the Interior,Minerals Management Service,HealthAndEnvironment
